feature_name,MAP_category
JG,null
MZMC,null
XB,null
ZYM,null
ZZMMMC,null
absent_count,M
absent_rate,M
attend_record_count,M
avg_gpa,A
avg_score,A
bb_mean,A
bmi_count,A
club_active_flag,M
club_event_count,M
course_count,P
daily_daka_mean,M
daily_daka_sum,M
daily_week_count,M
door_event_count,M
door_unique_ctrl,P
exam_submit_count,M
fail_count,A
fail_flag,A
fhl_mean,A
fit_cfbfs_mean,A
fit_hscj_mean,A
fit_sjcj_mean,A
hw_submit_count,M
ldty_mean,A
lib_unique_gate,P
lib_visit_count,M
online_bfb,M
pe_course_count,A
pe_unique_class,P
pe_unique_course,P
reply_count,M
run_punch_count,M
run_state_mean,A
select_course_count,P
select_unique_class,P
select_unique_course,P
semester,P
sign_count,M
task_bbs_num,M
task_exam_avg,A
task_job_num,M
task_job_rate,M
task_reply_num,M
task_test_avg,A
task_work_avg,A
term_id,P
term_order,P
topic_count,M
ws_mean,A
year_start,P
ywqz_mean,A
zf_grade,A
zf_score,A
zwtqq_mean,A
