group_field,group_value,sample_count,true_positive_rate,pred_positive_rate,group_f1
JG,610000.0,36,0.1388888888888889,0.5277777777777778,0.4166666666666667
JG,410000.0,14,0.07142857142857142,0.5714285714285714,0.2222222222222222
JG,650000.0,12,0.25,0.6666666666666666,0.5454545454545454
JG,130000.0,11,0.0,0.36363636363636365,0.0
JG,340000.0,9,0.0,0.4444444444444444,0.0
JG,450000.0,9,0.1111111111111111,0.5555555555555556,0.3333333333333333
JG,620000.0,9,0.0,0.6666666666666666,0.0
JG,510000.0,8,0.0,0.625,0.0
JG,370000.0,7,0.2857142857142857,0.7142857142857143,0.5714285714285714
JG,430000.0,6,0.3333333333333333,0.5,0.8
JG,150000.0,5,0.0,0.2,0.0
JG,360000.0,5,0.0,0.6,0.0
JG,530000.0,5,0.0,0.0,0.0
JG,520000.0,4,0.25,0.25,1.0
JG,110000.0,3,0.3333333333333333,0.6666666666666666,0.6666666666666666
JG,140000.0,3,0.0,0.0,0.0
JG,320000.0,3,0.3333333333333333,0.6666666666666666,0.6666666666666666
JG,330000.0,3,0.0,0.6666666666666666,0.0
JG,350000.0,3,0.0,0.6666666666666666,0.0
JG,500000.0,3,0.0,0.6666666666666666,0.0
JG,210000.0,2,0.0,1.0,0.0
JG,220000.0,2,0.0,0.5,0.0
JG,230000.0,2,0.5,0.5,1.0
JG,420000.0,2,0.0,0.5,0.0
JG,440000.0,2,0.0,1.0,0.0
JG,640000.0,2,0.0,0.5,0.0
JG,120000.0,1,0.0,1.0,0.0
JG,310000.0,1,0.0,0.0,0.0
JG,460000.0,1,0.0,0.0,0.0
JG,540000.0,1,0.0,1.0,0.0
JG,630000.0,1,0.0,1.0,0.0
MZMC,汉族,157,0.11464968152866242,0.5286624203821656,0.3564356435643564
MZMC,壮族,6,0.0,0.3333333333333333,0.0
MZMC,回族,4,0.0,0.5,0.0
MZMC,苗族,2,0.0,1.0,0.0
MZMC,哈萨克族,1,0.0,1.0,0.0
MZMC,土族,1,0.0,1.0,0.0
MZMC,布依族,1,0.0,0.0,0.0
MZMC,满族,1,0.0,1.0,0.0
MZMC,穿青人族,1,0.0,0.0,0.0
MZMC,藏族,1,0.0,1.0,0.0
XB,男,152,0.1118421052631579,0.5394736842105263,0.3434343434343434
XB,女,23,0.043478260869565216,0.4782608695652174,0.16666666666666666
ZYM,智能科学与技术,19,0.15789473684210525,0.6842105263157895,0.375
ZYM,软件工程,15,0.13333333333333333,0.6,0.36363636363636365
ZYM,电子信息科学与技术,14,0.0,0.7857142857142857,0.0
ZYM,机械设计制造及其自动化,12,0.16666666666666666,0.4166666666666667,0.5714285714285714
ZYM,电子信息工程,11,0.0,0.18181818181818182,0.0
ZYM,通信工程,11,0.09090909090909091,0.2727272727272727,0.5
ZYM,光电信息科学与工程,9,0.0,0.6666666666666666,0.0
ZYM,人工智能,8,0.125,0.375,0.5
ZYM,探测制导与控制技术,8,0.25,1.0,0.4
ZYM,微电子科学与工程,6,0.0,0.0,0.0
ZYM,电子科学与技术,5,0.0,0.4,0.0
ZYM,空间科学与技术,5,0.4,0.4,1.0
ZYM,应用化学,4,0.0,1.0,0.0
ZYM,测控技术与仪器,4,0.0,0.5,0.0
ZYM,信息工程,3,0.0,0.0,0.0
ZYM,市场营销,3,0.0,1.0,0.0
ZYM,物联网工程,3,0.3333333333333333,1.0,0.5
ZYM,电磁场与无线技术,3,0.0,0.6666666666666666,0.0
ZYM,网络空间安全,3,0.3333333333333333,0.6666666666666666,0.6666666666666666
ZYM,集成电路设计与集成系统,3,0.0,0.3333333333333333,0.0
ZYM,信息对抗技术,2,0.0,0.5,0.0
ZYM,工业设计,2,0.0,0.0,0.0
ZYM,电气工程及其自动化,2,0.0,1.0,0.0
ZYM,自动化,2,0.0,0.0,0.0
ZYM,遥感科学与技术,2,0.0,0.0,0.0
ZYM,信息与计算科学,1,1.0,1.0,1.0
ZYM,信息安全,1,0.0,0.0,0.0
ZYM,密码科学与技术,1,0.0,0.0,0.0
ZYM,工业工程,1,0.0,0.0,0.0
ZYM,数学与应用数学,1,0.0,1.0,0.0
ZYM,智能医学工程,1,0.0,0.0,0.0
ZYM,机器人工程,1,0.0,0.0,0.0
ZYM,材料科学与工程,1,0.0,1.0,0.0
ZYM,生物医学工程,1,1.0,1.0,1.0
ZYM,电子商务,1,0.0,0.0,0.0
ZYM,电波传播与天线,1,0.0,1.0,0.0
ZYM,空间信息与数字技术,1,0.0,1.0,0.0
ZYM,翻译,1,0.0,1.0,0.0
ZYM,计算机科学与技术,1,0.0,1.0,0.0
ZYM,金融学,1,0.0,0.0,0.0
ZYM,飞行器设计与工程,1,1.0,1.0,1.0
ZZMMMC,共青团员,145,0.0896551724137931,0.5103448275862069,0.2988505747126437
ZZMMMC,群众,30,0.16666666666666666,0.6333333333333333,0.4166666666666667
