domain,rank,feature,importance
study,1,task_job_num,0.003349
study,2,task_exam_avg,0.002943
study,3,task_reply_num,0.002233
study,4,task_bbs_num,0.001653
study,5,select_unique_class,0.000665
study,6,course_count,0.000279
study,7,select_unique_course,0.000104
study,8,select_course_count,4.5e-05
study,9,attend_record_count,3.2e-05
study,10,task_work_avg,2.8e-05
life,1,club_active_flag,0.167432
life,2,lib_visit_count,0.167432
life,3,semester,0.159696
life,4,year_start,0.159696
life,5,term_order,0.020757
life,6,club_event_count,0.020757
life,7,lib_unique_gate,0.0
life,8,door_event_count,0.0
life,9,door_unique_ctrl,0.0
sport,1,pe_unique_course,0.245917
sport,2,daily_daka_sum,0.185121
sport,3,ywqz_mean,0.18415
sport,4,fhl_mean,0.084173
sport,5,run_punch_count,0.059469
sport,6,bmi_count,0.0524
sport,7,pe_course_count,0.046363
sport,8,ws_mean,0.024369
sport,9,zwtqq_mean,0.011329
sport,10,pe_unique_class,0.006606
