feature_name,feature_type,feature_layer
XB,categorical,core
MZMC,categorical,core
ZZMMMC,categorical,core
JG,numeric,core
XSM,categorical,core
ZYM,categorical,core
internet_early_trend,numeric,temporal
internet_early_volatility,numeric,temporal
internet_early_continuity,numeric,temporal
internet_early_deviation,numeric,temporal
internet_early_cv,numeric,temporal
club_early_trend,numeric,temporal
club_early_continuity,numeric,temporal
library_early_trend,numeric,temporal
library_early_volatility,numeric,temporal
library_early_continuity,numeric,temporal
library_early_weekend_ratio,numeric,behavior
gate_early_trend,numeric,temporal
gate_early_volatility,numeric,temporal
gate_early_continuity,numeric,temporal
gate_early_weekend_ratio,numeric,behavior
behavior_rhythm_gap,numeric,interaction
internet_library_interaction,numeric,interaction
late_gate_internet_interaction,numeric,interaction
club_library_balance,numeric,interaction
