feature_name,feature_category
trend_decline_count_grade_avg,continuity_or_personal
trend_below_hist_grade_avg,continuity_or_personal
trend_drawdown_grade_avg,continuity_or_personal
personal_gap_grade_avg,continuity_or_personal
personal_ratio_grade_avg,continuity_or_personal
personal_z_grade_avg,continuity_or_personal
trend_decline_count_exam_score,continuity_or_personal
trend_below_hist_exam_score,continuity_or_personal
trend_drawdown_exam_score,continuity_or_personal
personal_gap_exam_score,continuity_or_personal
personal_ratio_exam_score,continuity_or_personal
personal_z_exam_score,continuity_or_personal
trend_decline_count_library_visit,continuity_or_personal
trend_below_hist_library_visit,continuity_or_personal
trend_drawdown_library_visit,continuity_or_personal
personal_gap_library_visit,continuity_or_personal
personal_ratio_library_visit,continuity_or_personal
personal_z_library_visit,continuity_or_personal
feature_behavior_coverage_count,availability
feature_temporal_coverage_count,availability
feature_behavior_missing_ratio,availability
feature_has_complete_recent_windows,availability
imbalance_grade_vs_library_z,imbalance
imbalance_assignment_vs_exam_level,imbalance
imbalance_grade_vs_library_delta,imbalance
imbalance_attendance_stable_study_drop,imbalance
